obec_kod;obec;okres_kod;okres;kraj_kod;kraj;vymera;krajina;krajina_kod;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE;latitude;longitude
543454;Pavľany;704;Levoča;7;Prešovský;7713479;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoča;SK0414;Pavľany;SK0414543454;49.06545844999999;20.72898658262736
556556;Pavlice;207;Trnava;2;Trnavský;7625527;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Trnava;SK0217;Pavlice;SK0217556556;48.25867275;17.57137337308769
556033;Pavlová;404;Nové Zámky;4;Nitriansky;7616629;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234;Pavlová;SK0234556033;47.9010739;18.6736078
510921;Pavlova Ves;505;Liptovský Mikuláš;5;Žilinský;6830105;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Liptovský Mikuláš;SK0315;Pavlova Ves;SK0315510921;49.17277224999999;19.61625242809402
515281;Pavlovce;609;Rimavská Sobota;6;Banskobystrický;7072184;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329;Pavlovce;SK0329515281;48.3247319;20.09646911331713
528960;Pavlovce;713;Vranov nad Topľou;7;Prešovský;17573275;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Vranov nad Topľou;SK041D;Pavlovce;SK041D528960;49.014544;21.43659581525985
522872;Pavlovce nad Uhom;807;Michalovce;8;Košický;32199658;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Michalovce;SK0427;Pavlovce nad Uhom;SK0427522872;48.61484025;22.0426823789117
505323;Pažiť;305;Partizánske;3;Trenčiansky;3062460;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Partizánske;SK0225;Pažiť;SK0225505323;48.6322351;18.4343968
520641;Pčoliné;709;Snina;7;Prešovský;33439564;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Snina;SK0419;Pčoliné;SK0419520641;49.0665715;22.1702247
507431;Pečeňady;204;Piešťany;2;Trnavský;8572770;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Piešťany;SK0214;Pečeňady;SK0214507431;48.48608249999999;17.72313774320242
