obec_kod;obec;okres_kod;okres;kraj_kod;kraj;vymera;krajina;krajina_kod;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE;latitude;longitude
524948;Olejníkov;708;Sabinov;7;Prešovský;44461192;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Sabinov;SK0418;Olejníkov;SK0418524948;49.19209355;21.10807398613611
509337;Olešná;502;Čadca;5;Žilinský;19773605;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Čadca;SK0312;Olešná;SK0312509337;49.43081205;18.65309726713978
520578;Oľka;705;Medzilaborce;7;Prešovský;31458311;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Medzilaborce;SK0415;Oľka;SK0415520578;49.152373;21.84536137117615
516261;Olováry;610;Veľký Krtíš;6;Banskobystrický;18619191;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Veľký Krtíš;SK032A;Olováry;SK032A516261;48.15358670000001;19.40597485428255
519677;Oľšavce;701;Bardejov;7;Prešovský;5064555;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Oľšavce;SK0411519677;49.2020495;21.38086584081748
543420;Oľšavica;704;Levoča;7;Prešovský;17606042;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoča;SK0414;Oľšavica;SK0414543420;49.0888401;20.7491338737442
527700;Oľšavka;711;Stropkov;7;Prešovský;8538172;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B;Oľšavka;SK041B527700;49.2965336;21.68590951603773
543438;Oľšavka;810;Spišská Nová Ves;8;Košický;3018039;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Spišská Nová Ves;SK042A;Oľšavka;SK042A543438;48.9673703;20.82498647185385
520586;Oľšinkov;705;Medzilaborce;7;Prešovský;7651520;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Medzilaborce;SK0415;Oľšinkov;SK0415520586;49.20601365;22.04248396625651
524956;Oľšov;708;Sabinov;7;Prešovský;10167601;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Sabinov;SK0418;Oľšov;SK0418524956;49.19897075;20.87106786949257
521825;Olšovany;806;Košice - okolie;8;Košický;9979984;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice - okolie;SK0426;Olšovany;SK0426521825;48.7104208;21.39937661218611
505277;Omastiná;301;Bánovce nad Bebravou;3;Trenčiansky;12447725;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Bánovce nad Bebravou;SK0221;Omastiná;SK0221505277;48.7873919;18.40502311087009
506354;Omšenie;309;Trenčín;3;Trenčiansky;24360865;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Trenčín;SK0229;Omšenie;SK0229506354;48.89627455;18.22015987784265
519685;Ondavka;701;Bardejov;7;Prešovský;3468150;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411;Ondavka;SK0411519685;49.44094275;21.33513005523471
528943;Ondavské Matiašovce;713;Vranov nad Topľou;7;Prešovský;10294546;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Vranov nad Topľou;SK041D;Ondavské Matiašovce;SK041D528943;48.9362182;21.7458667
512494;Ondrašová;509;Turčianske Teplice;5;Žilinský;6982557;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Turčianske Teplice;SK0319;Ondrašová;SK0319512494;48.952692;18.77786361461212
524964;Ondrašovce;707;Prešov;7;Prešovský;4355746;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417;Ondrašovce;SK0417524964;48.98249845;21.08384087964464
502618;Ondrejovce;402;Levice;4;Nitriansky;19611082;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Levice;SK0232;Ondrejovce;SK0232502618;48.1333805;18.52647774017989
521833;Opátka;806;Košice - okolie;8;Košický;13902578;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice - okolie;SK0426;Opátka;SK0426521833;48.7904905;21.04342471048376
506371;Opatovce;309;Trenčín;3;Trenčiansky;2897931;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Trenčín;SK0229;Opatovce;SK0229506371;48.86269175;17.97401776982275
514284;Opatovce nad Nitrou;307;Prievidza;3;Trenčiansky;9170170;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Prievidza;SK0227;Opatovce nad Nitrou;SK0227514284;48.7585239;18.56611268491687
516279;Opatovská Nová Ves;610;Veľký Krtíš;6;Banskobystrický;9154377;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Veľký Krtíš;SK032A;Opatovská Nová Ves;SK032A516279;48.1189937;19.27140485188983
516287;Opava;610;Veľký Krtíš;6;Banskobystrický;11762585;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Veľký Krtíš;SK032A;Opava;SK032A516287;48.21166615;19.17027944006911
