counted_percentage,lower_quantile,upper_quantile,mu,sigma_squared
0.82,-0.03046496645,0.02145168643,-0.002465390888,0.0002948525074
0.83,-0.02982714361,0.02120815677,-0.002378029937,0.0002833880633
0.84,-0.0289914577,0.02086504237,-0.002348242112,0.0002691790338
0.85,-0.02806505161,0.02045650195,-0.002235331539,0.0002575660634
0.86,-0.02712816738,0.02009390508,-0.002133346376,0.0002413786016
0.87,-0.02612048468,0.01947245244,-0.001997442829,0.0002265067507
0.88,-0.02491869076,0.0188247884,-0.001877819562,0.0002113544925
0.89,-0.02411373653,0.01799050708,-0.00179256243,0.0001966059861
0.9,-0.02279849764,0.01726598261,-0.001723826904,0.0001761727599
0.91,-0.02174457115,0.0166474387,-0.00167989982,0.0001582899527
0.92,-0.0204012932,0.01571807642,-0.001588348224,0.0001405507176
0.93,-0.019211613,0.01462281252,-0.001484620176,0.0001238110858
0.94,-0.01774775074,0.01333553605,-0.001365621057,0.0001043598441
0.95,-0.0158962785,0.01252133693,-0.001255905845,8.43E-05
0.96,-0.01404115969,0.01049914893,-0.001151230574,6.43E-05
0.97,-0.01254070933,0.009326736121,-0.000964014804,4.88E-05
0.98,-0.01058659992,0.007852703715,-0.0007492418544,3.29E-05
0.99,-0.008626132389,0.00596301693,-0.0004445824976,1.9E-05
1,0,0,0,0
